File	Package
/epoc32/data/z/private/10003a3f/apps/loadgen_reg.rsc	app/rndtools
/epoc32/data/z/private/10003a3f/apps/lockapp_reg.rsc	mw/securitysrv
/epoc32/data/z/private/10003a3f/apps/locsettingsuiserver_reg.rsc	mw/locationsrv
/epoc32/data/z/private/10003a3f/apps/logs_reg.rsc	app/contacts
/epoc32/data/z/private/10003a3f/apps/lwplayer_reg.rsc	app/videoplayer
/epoc32/data/z/private/10003a3f/apps/matrixmenu_reg.rsc	app/homescreen
/epoc32/data/z/private/10003a3f/apps/mce_reg.rsc	app/messaging
/epoc32/data/z/private/10003a3f/apps/mediasettings_reg.rsc	app/videoplayer
/epoc32/data/z/private/10003a3f/apps/memspyui_reg.rsc	app/rndtools
/epoc32/data/z/private/10003a3f/apps/mmsviewer_reg.rsc	app/messaging
/epoc32/data/z/private/10003a3f/apps/mpx_reg.rsc	app/musicplayer
/epoc32/data/z/private/10003a3f/apps/mpxvideoplayer_reg.rsc	app/videoplayer
/epoc32/data/z/private/10003a3f/apps/msgmaileditor_reg.rsc	app/messaging
/epoc32/data/z/private/10003a3f/apps/msgmailviewer_reg.rsc	app/messaging
/epoc32/data/z/private/10003a3f/apps/msgurlhandler_reg.rsc	mw/messagingmw
/epoc32/data/z/private/10003a3f/apps/musui_reg.rsc	app/mmsharinguis
/epoc32/data/z/private/10003a3f/apps/newcontactlauncher_reg.rsc	app/contacts
/epoc32/data/z/private/10003a3f/apps/notepad_reg.rsc	app/organizer
/epoc32/data/z/private/10003a3f/apps/notviewer_reg.rsc	app/messaging
/epoc32/data/z/private/10003a3f/apps/npdviewer_reg.rsc	app/organizer
/epoc32/data/z/private/10003a3f/apps/nsmldmsync_reg.rsc	app/devicecontrol
/epoc32/data/z/private/10003a3f/apps/nsmldssync_reg.rsc	app/contentcontrol
/epoc32/data/z/private/10003a3f/apps/onlinesupport_reg.rsc	app/devicecontrol
/epoc32/data/z/private/10003a3f/apps/operatormenu_reg.rsc	app/webuis
/epoc32/data/z/private/10003a3f/apps/paintcursor_reg.rsc	mw/btservices
/epoc32/data/z/private/10003a3f/apps/pbk2serverapp_reg.rsc	app/contacts
/epoc32/data/z/private/10003a3f/apps/peninputserver_reg.rsc	mw/inputmethods
/epoc32/data/z/private/10003a3f/apps/peninputsetting_reg.rsc	mw/inputmethods
/epoc32/data/z/private/10003a3f/apps/perfmon_reg.rsc	app/rndtools
/epoc32/data/z/private/10003a3f/apps/phonebook2_reg.rsc	app/contacts
/epoc32/data/z/private/10003a3f/apps/phoneui_reg.rsc	app/phone
/epoc32/data/z/private/10003a3f/apps/pnpprovisioning_reg.rsc	app/devicecontrol
/epoc32/data/z/private/10003a3f/apps/podcast_reg.rsc	app/podcatcher
/epoc32/data/z/private/10003a3f/apps/profileapp_reg.rsc	app/profile
/epoc32/data/z/private/10003a3f/apps/psln_reg.rsc	mw/classicui
/epoc32/data/z/private/10003a3f/apps/pushviewer_reg.rsc	app/webuis
/epoc32/data/z/private/10003a3f/apps/roapapp_reg.rsc	mw/web
/epoc32/data/z/private/10003a3f/apps/satui_reg.rsc	mw/phonesrv
/epoc32/data/z/private/10003a3f/apps/schemeapp_reg.rsc	mw/web
/epoc32/data/z/private/10003a3f/apps/screengrabber_reg.rsc	app/rndtools
/epoc32/data/z/private/10003a3f/apps/screensaver_reg.rsc	app/screensaver
/epoc32/data/z/private/10003a3f/apps/senduilauncher_reg.rsc	mw/messagingmw
/epoc32/data/z/private/10003a3f/apps/senduiserviceresolver_reg.rsc	mw/messagingmw
/epoc32/data/z/private/10003a3f/apps/smsviewer_reg.rsc	app/messaging
/epoc32/data/z/private/10003a3f/apps/speeddial_reg.rsc	app/contacts
/epoc32/data/z/private/10003a3f/apps/srchuiapp_reg.rsc	app/organizer
/epoc32/data/z/private/10003a3f/apps/startup_reg.rsc	mw/appsupport
/epoc32/data/z/private/10003a3f/apps/stifui_reg.rsc	app/rndtools
/epoc32/data/z/private/10003a3f/apps/svgtviewerapp_reg.rsc	app/graphicsuis
/epoc32/data/z/private/10003a3f/apps/swinstsvrui_reg.rsc	mw/appinstall
/epoc32/data/z/private/10003a3f/apps/sysap_reg.rsc	mw/appsupport
/epoc32/data/z/private/10003a3f/apps/taskswitcher_reg.rsc	app/homescreen
/epoc32/data/z/private/10003a3f/apps/tckrunner_reg.rsc	app/jrt
/epoc32/data/z/private/10003a3f/apps/tiger_reg.rsc	os/graphics
/epoc32/data/z/private/10003a3f/apps/touchscreencalib_reg.rsc	app/settingsuis
/epoc32/data/z/private/10003a3f/apps/uisettingssrv_reg.rsc	app/devicecontrol
/epoc32/data/z/private/10003a3f/apps/uitestserverstarter_reg.rsc	app/rndtools
/epoc32/data/z/private/10003a3f/apps/unieditor_reg.rsc	app/messaging
/epoc32/data/z/private/10003a3f/apps/usbclasschangeui_reg.rsc	mw/usbservices
/epoc32/data/z/private/10003a3f/apps/ussd_reg.rsc	app/phone
/epoc32/data/z/private/10003a3f/apps/vcexecutorapp_reg.rsc	app/speechsrv
/epoc32/data/z/private/10003a3f/apps/vcommand_reg.rsc	app/speechsrv
/epoc32/data/z/private/10003a3f/apps/vcommandmanager_reg.rsc	app/speechsrv
/epoc32/data/z/private/10003a3f/apps/videoservices_reg.rsc	app/webuis
/epoc32/data/z/private/10003a3f/apps/videotelui_reg.rsc	app/videotelephony
/epoc32/data/z/private/10003a3f/apps/vm_reg.rsc	app/phone
/epoc32/data/z/private/10003a3f/apps/voicerecorder_reg.rsc	app/voicerec
/epoc32/data/z/private/10003a3f/apps/voipprovisioningapp_reg.rsc	app/iptelephony
/epoc32/data/z/private/10003a3f/apps/vuivoicerecognition_reg.rsc	app/speechsrv
/epoc32/data/z/private/10003a3f/apps/widgetui_reg.rsc	mw/web
/epoc32/data/z/private/10003a3f/apps/wlansniffer_reg.rsc	mw/wirelessacc
/epoc32/data/z/private/10003a3f/apps/wmdrmdlaapp_reg.rsc	mw/drm
/epoc32/data/z/private/10003a3f/apps/wsfaihelper_reg.rsc	mw/wirelessacc
/epoc32/data/z/private/10003a3f/backup_registration.xml	mw/appsupport
/epoc32/data/z/private/10003a3f/import/apps/addressbook_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/adtupdater_reg.rsc	app/organizer
/epoc32/data/z/private/10003a3f/import/apps/alarmeditorapp_reg.rsc	app/organizer
