ROM file,Host file,Iby file,Package,In/Out,Who,Why
private\10003a3f\import\apps\DRMRightsManager_reg.rsc,/epoc32/data/z/private/10003a3f/apps/drmrightsmanager_reg.rsc,core/mw/drmrightsmanagerui.iby,mw/drm,,,
Private\10003a3f\import\apps\emailwidgetsettings_reg.rsc,/epoc32/data/z/private/10003a3f/apps/emailwidgetsettings_reg.rsc,core/app/emailwidgetsettings.iby,app/commonemail,,,
Private\10003a3f\Apps\eshell_reg.rsc,/epoc32/data/z/private/10003a3f/apps/eshell_reg.rsc,ESHELL.iby,mw/appsupport,,,
private\10003a3f\import\apps\eswt_reg.rsc,/epoc32/data/z/private/10003a3f/apps/eswt_reg.rsc,core/app/java.iby,app/jrt,,,
Private\10003a3f\import\apps\evthandlerapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/evthandlerapp_reg.rsc,core/app/eventsui.iby,app/location,,,
Private\10003a3f\import\apps\evtmgmtui_reg.rsc,/epoc32/data/z/private/10003a3f/apps/evtmgmtui_reg.rsc,core/app/eventsui.iby,app/location,,,
Private\10003a3f\import\apps\FileBrowser_reg.rsc,/epoc32/data/z/private/10003a3f/apps/filebrowser_reg.rsc,core/tools/filebrowser.iby,app/rndtools,,,
Private\10003a3f\apps\FileManager_reg.rsc,/epoc32/data/z/private/10003a3f/apps/filemanager_reg.rsc,core/app/FileManager.iby,app/files,,,
Private\10003a3f\apps\fotaserver_reg.rsc,/epoc32/data/z/private/10003a3f/apps/fotaserver_reg.rsc,core/mw/fotaserver.iby,mw/remotemgmt,,,
Private\10003a3f\import\apps\FreestyleEmailUi_reg.rsc,/epoc32/data/z/private/10003a3f/apps/freestyleemailui_reg.rsc,core/app/freestyleemailui.iby,app/commonemail,,,
Private\10003a3f\import\apps\fsmailserver_reg.rsc,/epoc32/data/z/private/10003a3f/apps/fsmailserver_reg.rsc,core/app/fsmailserver.iby,app/commonemail,,,
Private\10003a3f\apps\GSApp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/gsapp_reg.rsc,core/mw/gsapp.iby,mw/gsprofilesrv,,,
Private\10003a3f\apps\homescreen_reg.rsc,/epoc32/data/z/private/10003a3f/apps/homescreen_reg.rsc,core/mw/idlefw.iby,mw/homescreensrv,,,
Private\10003a3f\apps\HsBrowser_reg.rsc,/epoc32/data/z/private/10003a3f/apps/hsbrowser_reg.rsc,core/mw/hotspot.iby,mw/wirelessacc,,,
Private\10003a3f\import\apps\iaupdate_reg.rsc,/epoc32/data/z/private/10003a3f/apps/iaupdate_reg.rsc,core/mw/iaupdate.iby,mw/appinstall,,,
Private\10003a3f\import\apps\iaupdatelauncher_reg.rsc,/epoc32/data/z/private/10003a3f/apps/iaupdatelauncher_reg.rsc,core/mw/iaupdate.iby,mw/appinstall,,,
Private\10003a3f\import\apps\iaupdater_reg.rsc,/epoc32/data/z/private/10003a3f/apps/iaupdater_reg.rsc,core/mw/iaupdate.iby,mw/appinstall,,,
Private\10003a3f\apps\ImageEditor_reg.rsc,/epoc32/data/z/private/10003a3f/apps/imageeditor_reg.rsc,core/app/ImageEditor.iby,app/imgeditor,,,
Private\10003A3F\Apps\imageprintapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/imageprintapp_reg.rsc,core/app/desw_imageprintui.iby,app/printing,,,
private\10003a3f\Import\Apps\imcvuiapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/imcvuiapp_reg.rsc,core/app/imconversationview.iby,app/conversations,,,
Private\10003a3f\import\apps\IptvProvisioningApp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/iptvprovisioningapp_reg.rsc,core/app/videoprovisioningapppui.iby,app/videoplayer,,,
private\10003a3f\import\apps\javacontrolpanel_reg.rsc,/epoc32/data/z/private/10003a3f/apps/javacontrolpanel_reg.rsc,core/tools/javatest.iby,app/jrt,,,
private\10003a3f\import\apps\javainstaller_reg.rsc,/epoc32/data/z/private/10003a3f/apps/javainstaller_reg.rsc,core/app/java.iby,app/jrt,,,
Private\10003a3f\import\apps\Launcher_reg.rsc,/epoc32/data/z/private/10003a3f/apps/launcher_reg.rsc,core/tools/Launcher.iby,app/rndtools,,,
private\10003a3f\import\apps\lcdui_reg.rsc,/epoc32/data/z/private/10003a3f/apps/lcdui_reg.rsc,core/app/java.iby,app/jrt,,,
Private\10003a3f\import\apps\LmkMsgViewer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/lmkmsgviewer_reg.rsc,core/app/LocationLandmarksUi.iby,app/location,,,
Private\10003a3f\import\apps\LoadGen_reg.rsc,/epoc32/data/z/private/10003a3f/apps/loadgen_reg.rsc,core/tools/loadgen.iby,app/rndtools,,,
Private\10003a3f\apps\lockapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/lockapp_reg.rsc,core/mw/lockapp.iby,mw/securitysrv,,,
Private\10003a3f\import\apps\locsettingsuiserver_reg.rsc,/epoc32/data/z/private/10003a3f/apps/locsettingsuiserver_reg.rsc,core/mw/locsettingsuiservice.iby,mw/locationsrv,,,
Private\10003a3f\apps\Logs_reg.rsc,/epoc32/data/z/private/10003a3f/apps/logs_reg.rsc,core/app/Logs.iby,app/contacts,,,
PRIVATE\10003a3f\import\apps\lwplayer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/lwplayer_reg.rsc,core/app/lwplayer.iby,app/videoplayer,,,
Private\10003a3f\import\apps\matrixmenu_reg.rsc,/epoc32/data/z/private/10003a3f/apps/matrixmenu_reg.rsc,core/app/matrixmenu.iby,app/homescreen,,,
private\10003a3f\import\apps\mce_reg.rsc,/epoc32/data/z/private/10003a3f/apps/mce_reg.rsc,core/app/mce.iby,app/messaging,,,
Private\10003a3f\import\apps\mediasettings_reg.rsc,/epoc32/data/z/private/10003a3f/apps/mediasettings_reg.rsc,core/app/mediasettings.iby,app/videoplayer,,,
Private\10003a3f\import\apps\MemSpyUI_reg.rsc,/epoc32/data/z/private/10003a3f/apps/memspyui_reg.rsc,core/tools/memspyui.iby,app/rndtools,,,
Private\10003a3f\import\apps\mmsviewer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/mmsviewer_reg.rsc,core/app/MmsUi.iby,app/messaging,,,
Private\10003a3f\import\apps\mpx_reg.rsc,/epoc32/data/z/private/10003a3f/apps/mpx_reg.rsc,core/app/mpxmusicplayerapp.iby,app/musicplayer,,,
Private\10003a3f\import\apps\mpxvideoplayer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/mpxvideoplayer_reg.rsc,core/app/mpxvideoplayer.iby,app/videoplayer,,,
Private\10003a3f\apps\MsgMailEditor_reg.rsc,/epoc32/data/z/private/10003a3f/apps/msgmaileditor_reg.rsc,core/app/MailEditorViewer.iby,app/messaging,,,
Private\10003a3f\apps\MsgMailViewer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/msgmailviewer_reg.rsc,core/app/MailEditorViewer.iby,app/messaging,,,
